Prefecture,median_price_per_m2,n_municipios,n_transacciones
Akita Prefecture,11866.125760649087,6,122
Tochigi Prefecture,18706.293706293705,6,119
Kagoshima Prefecture,18707.865168539327,4,126
Niigata Prefecture,19444.861215303827,18,485
Yamagata Prefecture,19493.67088607595,9,160
Saga Prefecture,19534.883720930233,7,127
Yamaguchi Prefecture,20952.380952380954,11,408
Shimane Prefecture,21739.130434782608,5,148
Toyama Prefecture,21777.777777777777,7,314
Aomori Prefecture,21846.84684684685,4,150
Oita Prefecture,23703.703703703704,5,195
Kagawa Prefecture,23809.52380952381,5,239
Fukui Prefecture,24750.0,3,78
Nagano Prefecture,25000.0,11,273
Ibaraki Prefecture,25801.28205128205,4,72
Gunma Prefecture,27173.91304347826,7,175
Okayama Prefecture,27179.633867276887,8,321
Ishikawa Prefecture,27250.0,5,175
Mie Prefecture,27809.61791831357,10,396
Hokkaido,28125.0,23,619
Tottori Prefecture,31007.462686567163,2,91
Wakayama Prefecture,31561.264822134388,6,187
Fukushima Prefecture,31662.735849056604,8,240
Miyazaki Prefecture,32047.184170471843,4,170
Gifu Prefecture,32380.95238095238,9,269
Kumamoto Prefecture,33333.333333333336,5,137
Yamanashi Prefecture,34117.64705882353,1,49
Iwate Prefecture,36111.11111111111,5,112
Nagasaki Prefecture,36608.52713178295,4,175
Ehime Prefecture,38596.491228070176,7,268
Fukuoka Prefecture,39777.77777777778,29,841
Tokushima Prefecture,39980.694980694985,2,69
Shiga Prefecture,47121.53518123667,4,133
Miyagi Prefecture,50000.0,9,227
Shizuoka Prefecture,50000.0,11,251
Nara Prefecture,62852.664576802505,8,254
Hiroshima Prefecture,70000.0,17,440
Chiba Prefecture,80000.0,21,507
Kochi Prefecture,83333.33333333333,1,115
Hyogo Prefecture,85714.28571428571,25,1488
Aichi Prefecture,128493.99922570655,28,809
Kyoto Prefecture,128965.5172413793,21,1090
Osaka Prefecture,142857.14285714287,59,4192
Saitama Prefecture,156923.07692307694,26,547
Kanagawa Prefecture,169863.01369863015,37,1391
Okinawa Prefecture,210344.8275862069,1,32
Tokyo,312500.0,41,3041
